transactionid,date,customerid,gender,productname,category,subcategory,region,quantity,unitprice,costprice,discount,revenue,cost,profit
T00165,19-08-2025,C116,M,Knowledge Bags,Fashion,Bags,East,4,1396.22,1004.09,0.1,5026.392,4016.36,1010.032
T00076,20-05-2025,C019,F,Knowledge Bags,Fashion,Bags,East,3,1396.22,1004.09,0.05,3979.227,3012.27,966.957
T00008,28-05-2024,C169,M,Knowledge Bags,Fashion,Bags,South,3,1396.22,1004.09,0.1,3769.794,3012.27,757.524
T04985,26-09-2024,C081,F,Company Fruits,Groceries,Fruits,East,4,318.05,187.34,0.05,1208.59,749.36,459.23
T04931,22-10-2023,C105,M,Company Fruits,Groceries,Fruits,South,4,318.05,187.34,0.05,1208.59,749.36,459.23
T04909,30-06-2024,C056,F,Company Fruits,Groceries,Fruits,North,5,318.05,187.34,0.15,1351.7125,936.7,415.0125
T04852,08-04-2025,C122,M,Company Fruits,Groceries,Fruits,West,2,318.05,187.34,0,636.1,374.68,261.42
T04809,17-10-2024,C170,F,Company Fruits,Groceries,Fruits,East,3,318.05,187.34,0.05,906.4425,562.02,344.4225
T04798,08-04-2024,C118,M,Company Fruits,Groceries,Fruits,East,5,318.05,187.34,0.1,1431.225,936.7,494.525
T04788,29-10-2023,C163,F,Company Fruits,Groceries,Fruits,North,3,318.05,187.34,0.05,906.4425,562.02,344.4225
T04684,15-11-2023,C040,M,Company Fruits,Groceries,Fruits,South,5,318.05,187.34,0.05,1510.7375,936.7,574.0375
T04683,28-06-2024,C155,M,Company Fruits,Groceries,Fruits,East,3,318.05,187.34,0.1,858.735,562.02,296.715
T04599,15-03-2024,C198,M,Company Fruits,Groceries,Fruits,North,5,318.05,187.34,0.15,1351.7125,936.7,415.0125
T04574,06-12-2024,C007,M,Company Fruits,Groceries,Fruits,South,3,318.05,187.34,0,954.15,562.02,392.13
T04555,30-03-2025,C040,M,Company Fruits,Groceries,Fruits,East,2,318.05,187.34,0.15,540.685,374.68,166.005
T04534,15-12-2024,C138,F,Company Fruits,Groceries,Fruits,South,4,318.05,187.34,0.15,1081.37,749.36,332.01
T04503,15-03-2025,C118,M,Company Fruits,Groceries,Fruits,South,1,318.05,187.34,0,318.05,187.34,130.71
T04426,11-08-2025,C009,F,Company Fruits,Groceries,Fruits,East,3,318.05,187.34,0.05,906.4425,562.02,344.4225
T04390,18-10-2024,C131,M,Company Fruits,Groceries,Fruits,South,3,318.05,187.34,0.1,858.735,562.02,296.715
T04346,09-04-2025,C037,F,Company Fruits,Groceries,Fruits,South,4,318.05,187.34,0.15,1081.37,749.36,332.01
T04326,11-01-2024,C140,F,Company Fruits,Groceries,Fruits,North,2,318.05,187.34,0,636.1,374.68,261.42
T04193,15-09-2023,C003,F,Company Fruits,Groceries,Fruits,West,5,318.05,187.34,0.15,1351.7125,936.7,415.0125
T04134,29-11-2024,C085,M,Company Fruits,Groceries,Fruits,East,3,318.05,187.34,0.15,811.0275,562.02,249.0075
T04078,29-10-2024,C148,F,Company Fruits,Groceries,Fruits,North,5,318.05,187.34,0.05,1510.7375,936.7,574.0375
T04068,06-06-2024,C002,M,Company Fruits,Groceries,Fruits,North,3,318.05,187.34,0.05,906.4425,562.02,344.4225
T03995,27-12-2023,C168,M,Company Fruits,Groceries,Fruits,East,3,318.05,187.34,0.1,858.735,562.02,296.715
T03901,09-04-2025,C022,M,Company Fruits,Groceries,Fruits,South,4,318.05,187.34,0.15,1081.37,749.36,332.01
T03799,25-06-2024,C160,M,Company Fruits,Groceries,Fruits,East,3,318.05,187.34,0.05,906.4425,562.02,344.4225
T03602,23-02-2025,C018,M,Company Fruits,Groceries,Fruits,East,1,318.05,187.34,0.1,286.245,187.34,98.905
T03599,09-04-2025,C147,F,Company Fruits,Groceries,Fruits,West,3,318.05,187.34,0.1,858.735,562.02,296.715
T03539,03-05-2025,C099,M,Company Fruits,Groceries,Fruits,East,3,318.05,187.34,0,954.15,562.02,392.13
T03511,01-05-2024,C041,F,Company Fruits,Groceries,Fruits,East,1,318.05,187.34,0.1,286.245,187.34,98.905
T03484,28-04-2024,C132,M,Company Fruits,Groceries,Fruits,West,2,318.05,187.34,0.15,540.685,374.68,166.005
T03468,23-11-2023,C014,M,Company Fruits,Groceries,Fruits,North,4,318.05,187.34,0.05,1208.59,749.36,459.23
T03442,08-06-2025,C145,F,Company Fruits,Groceries,Fruits,South,3,318.05,187.34,0,954.15,562.02,392.13
T03314,10-08-2024,C084,M,Company Fruits,Groceries,Fruits,South,3,318.05,187.34,0.1,858.735,562.02,296.715
T03227,27-02-2024,C116,M,Company Fruits,Groceries,Fruits,West,3,318.05,187.34,0,954.15,562.02,392.13
T03217,13-04-2024,C132,M,Company Fruits,Groceries,Fruits,East,4,318.05,187.34,0.1,1144.98,749.36,395.62
T03049,18-06-2025,C002,M,Company Fruits,Groceries,Fruits,North,2,318.05,187.34,0.15,540.685,374.68,166.005
T03038,27-07-2025,C122,M,Company Fruits,Groceries,Fruits,West,5,318.05,187.34,0,1590.25,936.7,653.55
T02847,24-08-2024,C167,F,Company Fruits,Groceries,Fruits,North,5,318.05,187.34,0.15,1351.7125,936.7,415.0125
T02833,02-10-2024,C158,M,Company Fruits,Groceries,Fruits,West,4,318.05,187.34,0.05,1208.59,749.36,459.23
T02825,28-01-2024,C170,F,Company Fruits,Groceries,Fruits,East,1,318.05,187.34,0,318.05,187.34,130.71
T02723,27-08-2025,C134,F,Company Fruits,Groceries,Fruits,West,5,318.05,187.34,0,1590.25,936.7,653.55
T02681,22-11-2024,C053,F,Company Fruits,Groceries,Fruits,West,4,318.05,187.34,0.1,1144.98,749.36,395.62
T02655,30-12-2024,C083,F,Company Fruits,Groceries,Fruits,North,2,318.05,187.34,0.1,572.49,374.68,197.81
T02631,18-05-2024,C020,F,Company Fruits,Groceries,Fruits,East,2,318.05,187.34,0.1,572.49,374.68,197.81
T02597,13-08-2025,C115,M,Company Fruits,Groceries,Fruits,East,5,318.05,187.34,0.05,1510.7375,936.7,574.0375
T02592,11-02-2024,C053,F,Company Fruits,Groceries,Fruits,East,2,318.05,187.34,0.1,572.49,374.68,197.81
T02565,31-08-2025,C017,F,Company Fruits,Groceries,Fruits,South,2,318.05,187.34,0.15,540.685,374.68,166.005
T02537,30-06-2025,C057,F,Company Fruits,Groceries,Fruits,East,1,318.05,187.34,0.1,286.245,187.34,98.905
T02520,05-06-2025,C046,M,Company Fruits,Groceries,Fruits,West,3,318.05,187.34,0.15,811.0275,562.02,249.0075
T02508,17-03-2024,C175,M,Company Fruits,Groceries,Fruits,East,1,318.05,187.34,0.15,270.3425,187.34,83.0025
T02486,01-11-2023,C196,F,Company Fruits,Groceries,Fruits,East,1,318.05,187.34,0.15,270.3425,187.34,83.0025
T02460,27-07-2024,C177,F,Company Fruits,Groceries,Fruits,East,4,318.05,187.34,0.05,1208.59,749.36,459.23
T02422,27-06-2025,C135,M,Company Fruits,Groceries,Fruits,North,1,318.05,187.34,0.1,286.245,187.34,98.905
T02185,10-06-2025,C174,M,Company Fruits,Groceries,Fruits,West,3,318.05,187.34,0.15,811.0275,562.02,249.0075
T02129,01-05-2025,C137,M,Company Fruits,Groceries,Fruits,East,1,318.05,187.34,0.1,286.245,187.34,98.905
T02126,17-05-2025,C044,M,Company Fruits,Groceries,Fruits,East,3,318.05,187.34,0.15,811.0275,562.02,249.0075
T02067,28-12-2023,C106,F,Company Fruits,Groceries,Fruits,West,3,318.05,187.34,0.15,811.0275,562.02,249.0075
T02050,02-01-2025,C122,M,Company Fruits,Groceries,Fruits,East,1,318.05,187.34,0.05,302.1475,187.34,114.8075
T01800,10-11-2023,C095,M,Company Fruits,Groceries,Fruits,West,3,318.05,187.34,0.05,906.4425,562.02,344.4225
T01737,29-07-2024,C144,F,Company Fruits,Groceries,Fruits,East,5,318.05,187.34,0.05,1510.7375,936.7,574.0375
T01712,15-11-2024,C166,F,Company Fruits,Groceries,Fruits,North,3,318.05,187.34,0.1,858.735,562.02,296.715
T01654,05-06-2024,C092,F,Company Fruits,Groceries,Fruits,South,5,318.05,187.34,0,1590.25,936.7,653.55
T01633,25-06-2024,C144,F,Company Fruits,Groceries,Fruits,South,3,318.05,187.34,0.15,811.0275,562.02,249.0075
T01613,10-01-2024,C164,M,Company Fruits,Groceries,Fruits,North,1,318.05,187.34,0.1,286.245,187.34,98.905
T01607,02-09-2024,C100,F,Company Fruits,Groceries,Fruits,East,1,318.05,187.34,0,318.05,187.34,130.71
T01489,04-12-2023,C048,M,Company Fruits,Groceries,Fruits,East,2,318.05,187.34,0,636.1,374.68,261.42
T01468,17-01-2024,C188,M,Company Fruits,Groceries,Fruits,East,2,318.05,187.34,0.05,604.295,374.68,229.615
T01449,03-10-2024,C067,M,Company Fruits,Groceries,Fruits,East,5,318.05,187.34,0.15,1351.7125,936.7,415.0125
T01365,02-09-2024,C052,F,Company Fruits,Groceries,Fruits,West,4,318.05,187.34,0.15,1081.37,749.36,332.01
T01355,22-12-2023,C017,F,Company Fruits,Groceries,Fruits,West,2,318.05,187.34,0.1,572.49,374.68,197.81
T01339,07-03-2024,C024,F,Company Fruits,Groceries,Fruits,East,3,318.05,187.34,0.1,858.735,562.02,296.715
T01225,07-04-2024,C125,M,Company Fruits,Groceries,Fruits,South,1,318.05,187.34,0,318.05,187.34,130.71
T01131,13-12-2023,C112,F,Company Fruits,Groceries,Fruits,East,3,318.05,187.34,0.05,906.4425,562.02,344.4225
T01110,08-02-2024,C050,M,Company Fruits,Groceries,Fruits,West,3,318.05,187.34,0.1,858.735,562.02,296.715
T01075,28-01-2025,C192,M,Company Fruits,Groceries,Fruits,East,3,318.05,187.34,0,954.15,562.02,392.13
T01021,11-02-2024,C170,F,Company Fruits,Groceries,Fruits,West,3,318.05,187.34,0,954.15,562.02,392.13
T00887,17-06-2025,C057,F,Company Fruits,Groceries,Fruits,East,2,318.05,187.34,0,636.1,374.68,261.42
T00823,23-03-2025,C097,M,Company Fruits,Groceries,Fruits,North,3,318.05,187.34,0,954.15,562.02,392.13
T00821,07-07-2024,C121,M,Company Fruits,Groceries,Fruits,North,1,318.05,187.34,0,318.05,187.34,130.71
T00808,18-03-2024,C092,F,Company Fruits,Groceries,Fruits,West,4,318.05,187.34,0,1272.2,749.36,522.84
T00759,19-09-2023,C016,M,Company Fruits,Groceries,Fruits,West,2,318.05,187.34,0,636.1,374.68,261.42
T00710,03-06-2024,C147,F,Company Fruits,Groceries,Fruits,North,2,318.05,187.34,0,636.1,374.68,261.42
T00566,16-03-2024,C041,F,Company Fruits,Groceries,Fruits,West,5,318.05,187.34,0,1590.25,936.7,653.55
T00546,15-06-2025,C046,M,Company Fruits,Groceries,Fruits,East,5,318.05,187.34,0,1590.25,936.7,653.55
T00482,05-07-2024,C043,M,Company Fruits,Groceries,Fruits,South,5,318.05,187.34,0,1590.25,936.7,653.55
T00400,24-01-2024,C188,M,Company Fruits,Groceries,Fruits,West,2,318.05,187.34,0.05,604.295,374.68,229.615
T00359,22-03-2025,C134,F,Company Fruits,Groceries,Fruits,North,1,318.05,187.34,0.05,302.1475,187.34,114.8075
T00175,27-11-2024,C110,F,Company Fruits,Groceries,Fruits,East,5,318.05,187.34,0,1590.25,936.7,653.55
T00153,20-04-2024,C029,M,Company Fruits,Groceries,Fruits,South,2,318.05,187.34,0,636.1,374.68,261.42
T00117,08-06-2024,C136,M,Company Fruits,Groceries,Fruits,North,5,318.05,187.34,0.05,1510.7375,936.7,574.0375
T00102,16-07-2025,C115,M,Company Fruits,Groceries,Fruits,East,4,318.05,187.34,0.1,1144.98,749.36,395.62
T00061,20-03-2025,C026,M,Company Fruits,Groceries,Fruits,East,3,318.05,187.34,0.05,906.4425,562.02,344.4225
T04913,23-09-2024,C069,M,Understand Camera,Electronics,Camera,South,5,1474.12,764.02,0,7370.6,3820.1,3550.5
T04879,22-01-2024,C184,M,Understand Camera,Electronics,Camera,West,3,1474.12,764.02,0.1,3980.124,2292.06,1688.064
T04877,04-04-2024,C013,M,Understand Camera,Electronics,Camera,North,4,1474.12,764.02,0,5896.48,3056.08,2840.4
T04875,12-11-2024,C083,F,Understand Camera,Electronics,Camera,North,3,1474.12,764.02,0.1,3980.124,2292.06,1688.064
T04866,09-04-2025,C200,M,Understand Camera,Electronics,Camera,West,4,1474.12,764.02,0.15,5012.008,3056.08,1955.928
T04842,09-12-2024,C133,M,Understand Camera,Electronics,Camera,East,4,1474.12,764.02,0.1,5306.832,3056.08,2250.752
T04824,09-05-2024,C073,F,Understand Camera,Electronics,Camera,East,1,1474.12,764.02,0.05,1400.414,764.02,636.394
T04817,17-01-2024,C180,F,Understand Camera,Electronics,Camera,East,4,1474.12,764.02,0.1,5306.832,3056.08,2250.752
T04732,01-12-2024,C144,F,Understand Camera,Electronics,Camera,East,4,1474.12,764.02,0.1,5306.832,3056.08,2250.752
T04690,16-07-2024,C088,F,Understand Camera,Electronics,Camera,North,5,1474.12,764.02,0.1,6633.54,3820.1,2813.44
T04680,25-07-2025,C070,M,Understand Camera,Electronics,Camera,East,2,1474.12,764.02,0,2948.24,1528.04,1420.2
T04678,09-01-2025,C181,F,Understand Camera,Electronics,Camera,South,1,1474.12,764.02,0.1,1326.708,764.02,562.688
T04611,24-08-2025,C084,M,Understand Camera,Electronics,Camera,East,4,1474.12,764.02,0.15,5012.008,3056.08,1955.928
T04604,15-02-2025,C187,M,Understand Camera,Electronics,Camera,East,4,1474.12,764.02,0.15,5012.008,3056.08,1955.928
T04559,20-04-2024,C141,F,Understand Camera,Electronics,Camera,South,5,1474.12,764.02,0.1,6633.54,3820.1,2813.44
T04551,04-12-2023,C006,M,Understand Camera,Electronics,Camera,North,2,1474.12,764.02,0.15,2506.004,1528.04,977.964
T04529,23-02-2025,C073,F,Understand Camera,Electronics,Camera,South,1,1474.12,764.02,0,1474.12,764.02,710.1
T04457,11-01-2024,C117,F,Understand Camera,Electronics,Camera,West,1,1474.12,764.02,0.05,1400.414,764.02,636.394
T04455,02-08-2024,C033,F,Understand Camera,Electronics,Camera,East,4,1474.12,764.02,0.15,5012.008,3056.08,1955.928
T04341,01-05-2024,C074,F,Understand Camera,Electronics,Camera,East,3,1474.12,764.02,0.15,3759.006,2292.06,1466.946
T04150,20-12-2024,C042,F,Understand Camera,Electronics,Camera,East,5,1474.12,764.02,0.1,6633.54,3820.1,2813.44
T04083,08-02-2024,C187,M,Understand Camera,Electronics,Camera,South,2,1474.12,764.02,0.1,2653.416,1528.04,1125.376
T04024,22-09-2023,C043,M,Understand Camera,Electronics,Camera,East,1,1474.12,764.02,0,1474.12,764.02,710.1
T03815,11-09-2023,C134,F,Understand Camera,Electronics,Camera,East,2,1474.12,764.02,0,2948.24,1528.04,1420.2
T03697,09-01-2024,C061,M,Understand Camera,Electronics,Camera,West,5,1474.12,764.02,0.15,6265.01,3820.1,2444.91
T03659,04-02-2024,C116,M,Understand Camera,Electronics,Camera,North,3,1474.12,764.02,0,4422.36,2292.06,2130.3
T03646,17-10-2024,C185,F,Understand Camera,Electronics,Camera,South,4,1474.12,764.02,0.15,5012.008,3056.08,1955.928
T03628,19-09-2024,C147,F,Understand Camera,Electronics,Camera,East,4,1474.12,764.02,0.15,5012.008,3056.08,1955.928
T03585,28-07-2024,C035,F,Understand Camera,Electronics,Camera,North,2,1474.12,764.02,0,2948.24,1528.04,1420.2
T03566,18-01-2025,C165,M,Understand Camera,Electronics,Camera,South,3,1474.12,764.02,0.1,3980.124,2292.06,1688.064
T03476,29-07-2025,C145,F,Understand Camera,Electronics,Camera,East,1,1474.12,764.02,0.1,1326.708,764.02,562.688
T03393,17-09-2023,C173,F,Understand Camera,Electronics,Camera,West,1,1474.12,764.02,0.1,1326.708,764.02,562.688
T03391,24-07-2025,C188,M,Understand Camera,Electronics,Camera,South,3,1474.12,764.02,0.05,4201.242,2292.06,1909.182
T03359,24-01-2025,C091,M,Understand Camera,Electronics,Camera,West,4,1474.12,764.02,0,5896.48,3056.08,2840.4
T03356,29-10-2024,C022,M,Understand Camera,Electronics,Camera,West,2,1474.12,764.02,0,2948.24,1528.04,1420.2
T03352,06-10-2023,C057,F,Understand Camera,Electronics,Camera,South,5,1474.12,764.02,0.05,7002.07,3820.1,3181.97
T03285,11-09-2023,C034,F,Understand Camera,Electronics,Camera,South,2,1474.12,764.02,0.05,2800.828,1528.04,1272.788
T03151,10-01-2024,C063,M,Understand Camera,Electronics,Camera,East,1,1474.12,764.02,0.05,1400.414,764.02,636.394
T03104,19-03-2024,C061,M,Understand Camera,Electronics,Camera,East,1,1474.12,764.02,0.1,1326.708,764.02,562.688
T03086,19-11-2023,C068,F,Understand Camera,Electronics,Camera,East,4,1474.12,764.02,0.05,5601.656,3056.08,2545.576
T03039,19-09-2024,C063,M,Understand Camera,Electronics,Camera,South,4,1474.12,764.02,0.15,5012.008,3056.08,1955.928
T03010,17-11-2023,C154,M,Understand Camera,Electronics,Camera,West,4,1474.12,764.02,0.15,5012.008,3056.08,1955.928
T02979,11-06-2024,C055,M,Understand Camera,Electronics,Camera,East,5,1474.12,764.02,0,7370.6,3820.1,3550.5
T02931,09-10-2023,C112,F,Understand Camera,Electronics,Camera,East,4,1474.12,764.02,0,5896.48,3056.08,2840.4
T02845,20-06-2024,C145,F,Understand Camera,Electronics,Camera,South,4,1474.12,764.02,0,5896.48,3056.08,2840.4
T02822,03-01-2024,C105,M,Understand Camera,Electronics,Camera,South,4,1474.12,764.02,0.15,5012.008,3056.08,1955.928
T02732,01-06-2024,C092,F,Understand Camera,Electronics,Camera,South,1,1474.12,764.02,0,1474.12,764.02,710.1
T02731,09-09-2024,C164,M,Understand Camera,Electronics,Camera,East,3,1474.12,764.02,0.15,3759.006,2292.06,1466.946
T02671,29-10-2023,C131,M,Understand Camera,Electronics,Camera,South,4,1474.12,764.02,0,5896.48,3056.08,2840.4
T02632,18-11-2024,C185,F,Understand Camera,Electronics,Camera,East,4,1474.12,764.02,0,5896.48,3056.08,2840.4
T02381,18-12-2023,C057,F,Understand Camera,Electronics,Camera,East,2,1474.12,764.02,0.05,2800.828,1528.04,1272.788
T02320,13-11-2023,C196,F,Understand Camera,Electronics,Camera,South,1,1474.12,764.02,0.05,1400.414,764.02,636.394
T02266,24-03-2024,C123,F,Understand Camera,Electronics,Camera,West,2,1474.12,764.02,0,2948.24,1528.04,1420.2
T02194,11-06-2024,C065,F,Understand Camera,Electronics,Camera,East,3,1474.12,764.02,0.1,3980.124,2292.06,1688.064
T02065,26-06-2025,C095,M,Understand Camera,Electronics,Camera,West,1,1474.12,764.02,0.1,1326.708,764.02,562.688
T01792,11-01-2025,C052,F,Understand Camera,Electronics,Camera,South,2,1474.12,764.02,0.05,2800.828,1528.04,1272.788
T01747,01-05-2024,C156,M,Understand Camera,Electronics,Camera,East,4,1474.12,764.02,0.15,5012.008,3056.08,1955.928
T01631,31-07-2025,C033,F,Understand Camera,Electronics,Camera,South,4,1474.12,764.02,0,5896.48,3056.08,2840.4
T01559,30-10-2024,C095,M,Understand Camera,Electronics,Camera,East,3,1474.12,764.02,0,4422.36,2292.06,2130.3
T01552,06-08-2024,C115,M,Understand Camera,Electronics,Camera,South,3,1474.12,764.02,0.15,3759.006,2292.06,1466.946
T01550,08-05-2025,C183,M,Understand Camera,Electronics,Camera,North,4,1474.12,764.02,0,5896.48,3056.08,2840.4
T01518,31-12-2023,C144,F,Understand Camera,Electronics,Camera,East,4,1474.12,764.02,0.1,5306.832,3056.08,2250.752
T01499,19-06-2024,C190,M,Understand Camera,Electronics,Camera,North,4,1474.12,764.02,0.15,5012.008,3056.08,1955.928
T01391,10-12-2023,C054,F,Understand Camera,Electronics,Camera,West,1,1474.12,764.02,0.1,1326.708,764.02,562.688
T01296,06-12-2024,C103,F,Understand Camera,Electronics,Camera,East,2,1474.12,764.02,0.15,2506.004,1528.04,977.964
T01264,17-02-2024,C159,M,Understand Camera,Electronics,Camera,West,1,1474.12,764.02,0.1,1326.708,764.02,562.688
T01200,18-11-2023,C123,F,Understand Camera,Electronics,Camera,North,4,1474.12,764.02,0,5896.48,3056.08,2840.4
T00989,05-11-2023,C002,M,Understand Camera,Electronics,Camera,West,2,1474.12,764.02,0.05,2800.828,1528.04,1272.788
T00954,11-08-2024,C064,F,Understand Camera,Electronics,Camera,East,4,1474.12,764.02,0,5896.48,3056.08,2840.4
T00910,10-03-2024,C021,M,Understand Camera,Electronics,Camera,East,3,1474.12,764.02,0.05,4201.242,2292.06,1909.182
T00787,08-07-2025,C111,M,Understand Camera,Electronics,Camera,West,1,1474.12,764.02,0.15,1253.002,764.02,488.982
T00769,20-07-2025,C120,F,Understand Camera,Electronics,Camera,East,1,1474.12,764.02,0.05,1400.414,764.02,636.394
T00705,23-05-2024,C030,M,Understand Camera,Electronics,Camera,South,4,1474.12,764.02,0.05,5601.656,3056.08,2545.576
T00617,23-01-2024,C014,M,Understand Camera,Electronics,Camera,South,3,1474.12,764.02,0.05,4201.242,2292.06,1909.182
T00510,28-12-2023,C003,F,Understand Camera,Electronics,Camera,South,3,1474.12,764.02,0,4422.36,2292.06,2130.3
T00466,03-10-2024,C008,M,Understand Camera,Electronics,Camera,East,2,1474.12,764.02,0.15,2506.004,1528.04,977.964
T00385,20-11-2024,C063,M,Understand Camera,Electronics,Camera,West,2,1474.12,764.02,0.1,2653.416,1528.04,1125.376
T00384,29-04-2025,C144,F,Understand Camera,Electronics,Camera,North,4,1474.12,764.02,0.05,5601.656,3056.08,2545.576
T00235,10-08-2025,C074,F,Understand Camera,Electronics,Camera,North,2,1474.12,764.02,0.15,2506.004,1528.04,977.964
T00191,24-09-2023,C020,F,Understand Camera,Electronics,Camera,West,5,1474.12,764.02,0.15,6265.01,3820.1,2444.91
T00132,20-05-2025,C034,F,Understand Camera,Electronics,Camera,East,3,1474.12,764.02,0.1,3980.124,2292.06,1688.064
T00050,14-08-2025,C127,F,Understand Camera,Electronics,Camera,West,2,1474.12,764.02,0.15,2506.004,1528.04,977.964
T00020,07-01-2025,C070,M,Understand Camera,Electronics,Camera,West,3,1474.12,764.02,0,4422.36,2292.06,2130.3
T04847,06-11-2024,C133,M,Recognize Footwear,Fashion,Footwear,East,2,109.78,70.59,0.1,197.604,141.18,56.424
T04833,26-06-2024,C157,M,Recognize Footwear,Fashion,Footwear,East,3,109.78,70.59,0.15,279.939,211.77,68.169
T04783,10-12-2023,C158,M,Recognize Footwear,Fashion,Footwear,West,5,109.78,70.59,0.15,466.565,352.95,113.615
T04782,01-04-2024,C007,M,Recognize Footwear,Fashion,Footwear,North,5,109.78,70.59,0.05,521.455,352.95,168.505
T04695,30-07-2024,C124,F,Recognize Footwear,Fashion,Footwear,East,5,109.78,70.59,0.05,521.455,352.95,168.505
T04663,16-11-2023,C149,M,Recognize Footwear,Fashion,Footwear,South,4,109.78,70.59,0.1,395.208,282.36,112.848
T04608,15-05-2025,C046,M,Recognize Footwear,Fashion,Footwear,South,3,109.78,70.59,0.1,296.406,211.77,84.636
T04502,17-04-2025,C022,M,Recognize Footwear,Fashion,Footwear,East,5,109.78,70.59,0.05,521.455,352.95,168.505
T04489,20-08-2024,C069,M,Recognize Footwear,Fashion,Footwear,South,2,109.78,70.59,0,219.56,141.18,78.38
T04444,19-11-2023,C194,M,Recognize Footwear,Fashion,Footwear,South,2,109.78,70.59,0,219.56,141.18,78.38
T04413,31-12-2023,C200,M,Recognize Footwear,Fashion,Footwear,East,5,109.78,70.59,0,548.9,352.95,195.95
T04406,06-10-2024,C048,M,Recognize Footwear,Fashion,Footwear,East,2,109.78,70.59,0.15,186.626,141.18,45.446
T04372,05-06-2024,C054,F,Recognize Footwear,Fashion,Footwear,West,2,109.78,70.59,0,219.56,141.18,78.38
T04366,09-11-2024,C137,M,Recognize Footwear,Fashion,Footwear,South,5,109.78,70.59,0,548.9,352.95,195.95
T04338,25-05-2024,C029,M,Recognize Footwear,Fashion,Footwear,South,5,109.78,70.59,0.1,494.01,352.95,141.06
T04327,18-09-2023,C143,M,Recognize Footwear,Fashion,Footwear,North,2,109.78,70.59,0.1,197.604,141.18,56.424
T04317,28-03-2024,C196,F,Recognize Footwear,Fashion,Footwear,West,2,109.78,70.59,0.1,197.604,141.18,56.424
T04314,04-01-2024,C015,M,Recognize Footwear,Fashion,Footwear,West,1,109.78,70.59,0,109.78,70.59,39.19
T04258,13-08-2024,C083,F,Recognize Footwear,Fashion,Footwear,North,2,109.78,70.59,0.1,197.604,141.18,56.424
T04246,17-04-2025,C058,M,Recognize Footwear,Fashion,Footwear,East,2,109.78,70.59,0,219.56,141.18,78.38
T04202,27-06-2025,C039,F,Recognize Footwear,Fashion,Footwear,East,3,109.78,70.59,0,329.34,211.77,117.57
T04184,25-11-2023,C027,M,Recognize Footwear,Fashion,Footwear,East,2,109.78,70.59,0.05,208.582,141.18,67.402
T04143,24-12-2023,C060,M,Recognize Footwear,Fashion,Footwear,North,5,109.78,70.59,0.15,466.565,352.95,113.615
T04113,28-12-2023,C158,M,Recognize Footwear,Fashion,Footwear,West,5,109.78,70.59,0.1,494.01,352.95,141.06
T04003,13-08-2024,C020,F,Recognize Footwear,Fashion,Footwear,South,3,109.78,70.59,0.15,279.939,211.77,68.169
T03882,16-07-2024,C121,M,Recognize Footwear,Fashion,Footwear,South,4,109.78,70.59,0,439.12,282.36,156.76
T03858,23-10-2024,C014,M,Recognize Footwear,Fashion,Footwear,West,3,109.78,70.59,0.1,296.406,211.77,84.636
T03826,24-10-2024,C167,F,Recognize Footwear,Fashion,Footwear,East,1,109.78,70.59,0,109.78,70.59,39.19
T03752,11-06-2024,C108,M,Recognize Footwear,Fashion,Footwear,West,2,109.78,70.59,0.15,186.626,141.18,45.446
T03722,30-08-2024,C149,M,Recognize Footwear,Fashion,Footwear,East,4,109.78,70.59,0.1,395.208,282.36,112.848
T03654,26-01-2025,C109,F,Recognize Footwear,Fashion,Footwear,East,2,109.78,70.59,0.1,197.604,141.18,56.424
T03652,14-05-2024,C109,F,Recognize Footwear,Fashion,Footwear,West,5,109.78,70.59,0,548.9,352.95,195.95
T03621,29-08-2024,C030,M,Recognize Footwear,Fashion,Footwear,East,2,109.78,70.59,0,219.56,141.18,78.38
T03529,29-04-2025,C047,F,Recognize Footwear,Fashion,Footwear,East,4,109.78,70.59,0.15,373.252,282.36,90.892
T03365,06-07-2024,C007,M,Recognize Footwear,Fashion,Footwear,South,5,109.78,70.59,0,548.9,352.95,195.95
T03362,20-05-2025,C126,M,Recognize Footwear,Fashion,Footwear,East,1,109.78,70.59,0.05,104.291,70.59,33.701
T03263,21-03-2025,C073,F,Recognize Footwear,Fashion,Footwear,West,2,109.78,70.59,0,219.56,141.18,78.38
T03233,14-07-2025,C149,M,Recognize Footwear,Fashion,Footwear,East,5,109.78,70.59,0.1,494.01,352.95,141.06
T03200,05-11-2023,C165,M,Recognize Footwear,Fashion,Footwear,East,1,109.78,70.59,0.15,93.313,70.59,22.723
T03140,07-01-2025,C119,M,Recognize Footwear,Fashion,Footwear,East,4,109.78,70.59,0.05,417.164,282.36,134.804
T02932,05-05-2024,C028,F,Recognize Footwear,Fashion,Footwear,South,3,109.78,70.59,0.15,279.939,211.77,68.169
T02929,13-12-2023,C101,F,Recognize Footwear,Fashion,Footwear,East,3,109.78,70.59,0.1,296.406,211.77,84.636
T02910,07-08-2025,C180,F,Recognize Footwear,Fashion,Footwear,South,2,109.78,70.59,0.05,208.582,141.18,67.402
T02907,20-09-2024,C074,F,Recognize Footwear,Fashion,Footwear,East,1,109.78,70.59,0.15,93.313,70.59,22.723
T02898,13-10-2024,C033,F,Recognize Footwear,Fashion,Footwear,South,2,109.78,70.59,0,219.56,141.18,78.38
T02851,07-09-2024,C138,F,Recognize Footwear,Fashion,Footwear,West,2,109.78,70.59,0.05,208.582,141.18,67.402
